# Title/abstract screening for the Paper 0 light-yield survey.
# auto_* is a crude keyword verdict; reviewed_* is what a human decided
# after reading, and is what the extraction step uses. A blank
# reviewed_decision means not yet reviewed.
arxiv_id,published,title,auto_decision,auto_reason,reviewed_decision,reviewed_reason
1611.00241v2,2016-11-01,Effect of Low Electric Fields on Alpha Scintillation Light Yield in Liquid Argon,screen,abstract mentions a light yield -- read the full text,,
1611.03627v2,2016-11-11,Fiber and Crystals Dual Readout calorimeters,exclude,abstract reports no light yield or output,,
1611.05862v1,2016-11-17,X-ray Scintillation in Lead Halide Perovskite Crystals,screen,abstract mentions a light yield -- read the full text,,
1612.02918v1,2016-12-09,New Tl2LaBr5: Ce3+ Crystal Scintillator for γ-Rays Detection,screen,abstract mentions a light yield -- read the full text,,
1612.05507v1,2016-12-16,A new technique for infrared scintillation measurements,screen,abstract mentions a light yield -- read the full text,,
1612.06071v2,2016-12-19,The low temperature performance of CsI(Na) crystals for WIPMs direct searches,screen,abstract mentions a light yield -- read the full text,,
1701.05548v1,2017-01-19,Localisation of gamma-ray interaction points in thick monolithic CeBr3 and LaBr3:Ce scintillators,exclude,abstract reports no light yield or output,,
1702.07614v2,2017-02-24,Non proportionality dependence on shaping time,screen,abstract mentions a light yield -- read the full text,,
1703.01262v1,2017-03-03,Light yield determination in large sodium iodide detectors applied in the search for dark matter,screen,abstract mentions a light yield -- read the full text,,
1703.07152v2,2017-03-21,Low-Temperature Relative Reflectivity Measurements of Reflective and Scintillating Foils used in Rare Event Searches,exclude,abstract reports no light yield or output,,
1703.08926v1,2017-03-27,Optical and structural properties of $\mathrm{Eu^{2+}}$ doped BaBrI and BaClI crystals,exclude,abstract reports no light yield or output,,
1704.01758v2,2017-04-06,Development of $^{100}$Mo-containing scintillating bolometers for a high-sensitivity neutrinoless double-beta decay search,exclude,abstract reports no light yield or output,,
1705.00662v1,2017-05-01,SNO+ Commissioning Status,exclude,organic or liquid scintillator,,
1705.07027v2,2017-05-19,CaloCube: a novel calorimeter for high-energy cosmic rays in space,exclude,abstract reports no light yield or output,,
1705.11028v2,2017-05-31,Results from the first cryogenic NaI detector for the COSINUS project,exclude,abstract reports no light yield or output,,
1708.09682v1,2017-08-31,Performance of SiPMs in the nonlinear region,exclude,abstract reports no light yield or output,,
1709.04020v2,2017-09-12,Particle detection at cryogenic temperatures with undoped CsI,screen,abstract mentions a light yield -- read the full text,,
1709.04975v1,2017-09-09,The Characterization of new Eu2+ doped TlSr2I5 Scintillator Crystals,screen,abstract mentions a light yield -- read the full text,,
1709.06458v2,2017-09-19,Temperature dependence of plastic scintillators,exclude,organic or liquid scintillator,,
1709.07846v1,2017-09-22,$^{100}$Mo-enriched Li$_2$MoO$_4$ scintillating bolometers for $0ν2β$ decay search: from LUMINEU to CUPID-0/Mo projects,exclude,abstract reports no light yield or output,,
1709.08672v2,2017-09-25,Brightness and uniformity measurements of plastic scintillator tiles at the CERN H2 test beam,exclude,organic or liquid scintillator,,
1710.08136v1,2017-10-23,Development of novel plastic scintillators based on polyvinyltoluene for the hybrid J-PET/MR tomograph,exclude,organic or liquid scintillator,,
1710.11233v3,2017-10-30,A Novel Use of Light Guides and Wavelength Shifting Plates for the Detection of Scintillation Photons in Large Liquid Argon Detectors,screen,abstract mentions a light yield -- read the full text,,
1711.11188v2,2017-11-30,On the Relationship Between Scintillation Anisotropy and Crystal Structure in Pure Crystalline Organic Scintillator Materials,exclude,organic or liquid scintillator,,
1711.11393v3,2017-11-30,Light yield and radiation hardness studies of scintillator strips with a filler,exclude,organic or liquid scintillator,,
1801.05059v1,2018-01-15,On the performance of large monolithic LaCl3(Ce) crystals coupled to pixelated silicon photosensors,exclude,organic or liquid scintillator,,
1801.07909v2,2018-01-24,First scintillating bolometer tests of a CLYMENE R&D on Li$_2$MoO$_4$ scintillators towards a large-scale double-beta decay experiment,screen,abstract mentions a light yield -- read the full text,,
1802.08247v1,2018-02-22,Quality Assurance on Un-Doped CsI Crystals for the Mu2e Experiment,screen,abstract mentions a light yield -- read the full text,,
1802.09202v2,2018-02-26,Simulation and Efficiency Studies of Optical Photon Transportation and Detection with Plastic Antineutrino Detector Modules,exclude,organic or liquid scintillator,,
1803.11362v1,2018-03-30,FLARES,exclude,abstract reports no light yield or output,,
1804.06457v2,2018-04-17,Liquid Scintillator Response to Proton Recoils in the 10-100 keV Range,exclude,organic or liquid scintillator,,
1804.08975v2,2018-04-24,On the design of experiments based on plastic scintillators using Geant4 simulations,exclude,organic or liquid scintillator,,
1806.02461v2,2018-06-06,Optimisation of the scintillation light collection and uniformity for the SoLid experiment,screen,abstract mentions a light yield -- read the full text,,
1807.00628v1,2018-07-02,A hybrid organic/inorgaic scintillator for high performance measurements,exclude,organic or liquid scintillator,,
1807.03457v1,2018-07-10,Simulation study of light transport in laser-processed LYSO:Ce detectors with single-side readout,exclude,abstract reports no light yield or output,,
1807.06390v1,2018-07-17,"Ce-doped Gd${}_{3}$Al${}_{2}$Ga${}_{3}$O${}_{12}$ scintillator for compact, effective and high time resolution detector of the fast neutrons",screen,abstract mentions a light yield -- read the full text,,
1808.05833v4,2018-08-17,Initial Measurements with the PETsys TOFPET2 ASIC Evaluation Kit and a Characterization of the ASIC TDC,exclude,abstract reports no light yield or output,,
1808.09281v2,2018-08-28,A highly granular SiPM-on-tile calorimeter prototype,exclude,organic or liquid scintillator,,
1809.03286v1,2018-09-10,Simulation Study for the Energy Resolution Performances of Homogenous Calorimeters with Scintillator-Photodetector Combinations,exclude,abstract reports no light yield or output,,
1809.10840v2,2018-09-28,Characterization and Performance of PADME's Cherenkov-Based Small-Angle Calorimeter,screen,abstract mentions a light yield -- read the full text,,
1810.02885v1,2018-10-05,Improving Light Yield Measurements for Low-Yield Scintillators,exclude,organic or liquid scintillator,,
1810.05000v1,2018-10-11,Effects of neutron radiation on the optical and structural properties of blue and green emitting plastic scintillators,exclude,organic or liquid scintillator,,
